#separator:tab
#html:true
#tags column:3
#guid column:4
#deck:Français PT*::Thème 1 Nature::Haushofer
Qui a écrit <i>Le Mur invisible</i> ?	<b>Marlen Haushofer, romancière autrichienne ; le roman paraît en 1963.</b><br>Titre original : <i>Die Wand</i> (« le mur »). Traduction au programme : Liselotte Bodo et Jacqueline Chambon (Actes Sud).<br><small>Réf. : PROGRAMME.md, § 2</small>	theme1 haushofer essentiel	hau-001
Comment s'appelle la narratrice du <i>Mur invisible</i> ?	<b>Elle n'a pas de nom : en copie, écris « la narratrice ».</b><br>Une citadine d'une quarantaine d'années, veuve, mère de deux filles presque adultes.<br><small>Réf. : début du récit [non vérifié]</small>	theme1 haushofer essentiel	hau-029
En une phrase, quelle expérience de la nature <i>Le Mur invisible</i> raconte-t-il ?	<b>Vivre dans la nature, coupée des hommes : survivre, soigner ses bêtes, s'y transformer.</b><br>Une citadine peu préparée, aidée de quelques souvenirs d'enfance, apprend par le travail et devient un vivant parmi d'autres. Mais la violence humaine ressurgit à la fin.<br><small>Réf. : synthèse des cartes suivantes (interprétation, pas une citation) [non vérifié]</small>	theme1 haushofer essentiel	hau-007
Où la narratrice du <i>Mur invisible</i> se trouve-t-elle quand le mur apparaît ?	<b>Seule, au chalet de chasse de Hugo, mari de sa cousine, en montagne autrichienne.</b><br>Invitée pour quelques jours, elle reste au chalet un soir : Hugo et sa femme descendent au village voisin et ne reviennent jamais.<br><small>Réf. : début du récit [non vérifié]</small>	theme1 haushofer essentiel	hau-002
Comment la narratrice découvre-t-elle le mur, le lendemain matin ?	<b>En partant vers le village, elle se heurte à une paroi invisible, lisse et fraîche.</b><br>Lynx, parti devant, s'y est heurté d'abord, le museau en sang. En longeant le mur, elle découvre qu'il enferme forêt, vallée et montagne.<br><small>Réf. : début du récit [non vérifié]</small>	theme1 haushofer essentiel	hau-003
Quel être humain figé la narratrice aperçoit-elle derrière le mur ?	<b>Un vieil homme immobile près d'une fontaine, la main à mi-chemin du visage.</b><br>Figé en train de se laver, comme pétrifié. Au-delà du mur, hommes et bêtes semblent morts ; le paysage reste intact.<br><small>Réf. : premiers jours du récit [non vérifié]</small>	theme1 haushofer essentiel	hau-004
Quelle hypothèse la narratrice fait-elle sur l'origine du mur ?	<b>Une arme humaine inconnue, qui tue hommes et bêtes sans toucher au paysage.</b><br>Elle ne pourra jamais la vérifier. Lecture courante de la critique : un écho de la peur atomique, en pleine guerre froide.<br><small>Réf. : premiers temps du récit ; contexte d'après la critique [non vérifié]</small>	theme1 haushofer essentiel	hau-019
Sous quelle forme la narratrice du <i>Mur invisible</i> raconte-t-elle son histoire ?	<b>Un récit à la première personne, écrit après coup, pendant un hiver.</b><br>Du 5 novembre à fin février, jusqu'à épuisement du papier ; il couvre environ deux ans et demi. Pas de chapitres : situe tes exemples par moment du récit.<br><small>Réf. : première et dernière pages [non vérifié]</small>	theme1 haushofer essentiel	hau-005
Pourquoi la narratrice du <i>Mur invisible</i> écrit-elle, d'après ce qu'elle en dit ?	<b>Pour ne pas perdre la raison : elle doit écrire pour tenir.</b><br>Elle ignore si quelqu'un le lira un jour. Écrire occupe les longs mois d'hiver et met de l'ordre dans ce qu'elle a vécu.<br><small>Réf. : début du récit [non vérifié]</small>	theme1 haushofer essentiel	hau-006
Qui est Lynx, le compagnon de chaque jour de la narratrice ?	<b>Le chien de chasse de Hugo, resté avec elle derrière le mur.</b><br>Il la suit partout, l'aide à chasser ; elle lui parle comme à un ami. Sa mort est annoncée dès les premières pages.<br><small>Réf. : début du récit (annonce de sa mort) ; fin, à l'alpage (sa mort) [non vérifié]</small>	theme1 haushofer personnage	hau-008
