#separator:tab
#html:true
#tags column:3
#guid column:4
#deck:Français PT*::Thème 1 Nature::Croisements
En introduction, quel genre donner à chacune des trois œuvres du thème ?	<b>Canguilhem : essai de philosophie ; Verne : roman d'aventures ; Haushofer : roman écrit comme un récit.</b><br>Canguilhem réunit des études sur le vivant. Verne mêle science et aventure (<i>Voyages extraordinaires</i>). Chez Haushofer, la narratrice raconte elle-même sa survie, à la première personne.<br><small>Réf. : PROGRAMME.md, § 2 ; présenter chaque œuvre par son genre : met-017 et rapport Français B 2022 (extraits lus par recherche web) [non vérifié]</small>	theme1 croisements canguilhem verne haushofer essentiel	nat-003
Quels trois sens du mot « expérience » faut-il distinguer, un pour chaque œuvre ?	<b>Expérimenter (Canguilhem), explorer (Verne), éprouver (Haushofer).</b><br>La méthode du biologiste, le voyage d'Aronnax, la survie de la narratrice. Le latin <i>experiri</i>, « essayer », a la même racine que <i>periculum</i>, le péril.<br><small>Réf. : échantillon 06, § 1, étape 2 (quatre sens, ramenés ici à trois) ; met-014 ; Canguilhem, I, L'expérimentation en biologie animale [non vérifié]</small>	theme1 croisements canguilhem verne haushofer essentiel	nat-001
Dans l'intitulé, quelles deux lectures le complément « de la nature » rend-il possibles ?	<b>La nature, objet qu'on explore, ou force qui nous met à l'épreuve.</b><br>Objet : Conseil classe les poissons, Aronnax les admire, derrière la vitre (I, 14). Force : la narratrice subit l'hiver, la fatigue, la peur. Génitif objectif, puis subjectif.<br><small>Réf. : Verne, I, 14 ; Haushofer, les hivers derrière le mur [non vérifié]</small>	theme1 croisements verne haushofer essentiel	nat-002
Conseil qui classe, la narratrice qui soigne : quelles deux façons de connaître l'animal s'opposent ?	<b>Connaître l'espèce par la classification ; connaître l'individu par le soin.</b><br>Conseil classe tout, mais distinguerait mal un cachalot d'une baleine (I, 3). La narratrice connaît chacune de ses bêtes (Bella, Lynx) en la soignant : savoir et responsabilité vont ensemble.<br><small>Réf. : Verne, I, 3 ; I, 14 ; Haushofer, soins aux bêtes, au fil du récit [non vérifié] ; interprétation</small>	theme1 croisements verne haushofer notion	nat-011
Nemo et la narratrice du <i>Mur invisible</i> vivent loin des hommes : qu'est-ce qui oppose leurs solitudes ?	<b>Choisie chez Nemo, qui a rompu avec la société ; subie chez la narratrice.</b><br>Pour Nemo, en mer « l'homme n'est jamais seul » : il y sent frémir la vie (I, 10). La narratrice trouve dans ses bêtes, surtout Lynx, sa seule compagnie.<br><small>Réf. : Verne, I, 10 (citation contrôlée sur le texte Hetzel) ; Haushofer, la vie avec Lynx [non vérifié]</small>	theme1 croisements verne haushofer notion	nat-008
Voir la nature par la machine ou la travailler à la main : quel exemple chez Verne, puis chez Haushofer ?	<b>Le salon vitré du <i>Nautilus</i> ; la narratrice qui fauche le foin à la faux.</b><br>Verne : la lumière électrique révèle la mer, mais derrière une vitre (I, 12 ; I, 14). Haushofer : l'outil engage tout le corps, que le travail épuise.<br><small>Réf. : Verne, I, 12 ; I, 14 ; Haushofer, le foin, chaque été [non vérifié] ; interprétation</small>	theme1 croisements verne haushofer notion	nat-006
Temps mesuré ou temps des saisons : quel exemple chez Verne, puis chez Haushofer ?	<b>Le point quotidien du <i>Nautilus</i> ; les saisons qui règlent la vie de la narratrice.</b><br>Le point est reporté chaque jour sur le planisphère (I, 18 ; II, 17). La narratrice n'est plus sûre de la date : foin, récoltes, alpage rythment son année.<br><small>Réf. : Verne, I, 18 ; II, 17 ; Haushofer, date incertaine dès la première page ; travaux des saisons [non vérifié]</small>	theme1 croisements verne haushofer notion	nat-009
Quelle idée de « Machine et organisme » éclaire l'exploitation de la mer par Nemo ?	<b>Se rendre « maître et possesseur » de la nature suppose de la tenir pour un moyen.</b><br>Canguilhem critique ce présupposé : Descartes dévalue l'animal, comme Aristote l'esclave, pour s'en servir. Nemo exploite la mer, sa « propriété », mais la dit « l'infini vivant » (I, 10).<br><small>Réf. : Canguilhem, III, 2, Machine et organisme [non vérifié] ; formule de Descartes [à vérifier dans ton édition] ; Verne, I, 10 (texte Hetzel) ; rapprochement proposé</small>	theme1 croisements canguilhem verne notion	nat-012
Normativité selon Canguilhem : quel contraste entre Aronnax et Ned Land l'illustre chez Verne ?	<b>Aronnax, sans ennui, se fait à la vie du bord ; Ned veut fuir ce milieu.</b><br>Normativité : pouvoir d'instituer de nouvelles normes de vie. Ned, non malade (II, 1), éprouve une nostalgie « que la fuite seule eût pu guérir » (II, 19) : milieu refusé.<br><small>Réf. : Canguilhem, III, 4, Le normal et le pathologique [non vérifié] ; Verne, II, 1 ; II, 19 (citation contrôlée sur le texte Hetzel) ; rapprochement proposé</small>	theme1 croisements canguilhem verne notion	nat-004
Banquise chez Verne, mur chez Haushofer : lequel de ces enfermements peut-on vaincre, et comment ?	<b>La banquise, en quelques jours, par le travail de tous ; le mur, jamais.</b><br>Obstacle naturel, vaincu par la technique et la solidarité (II, 16). Obstacle inexpliqué, peut-être humain : la narratrice doit apprendre à vivre derrière (interprétation).<br><small>Réf. : Verne, II, 15-16 ; Haushofer, découverte du mur, puis tout le récit [non vérifié]</small>	theme1 croisements verne haushofer scene	nat-005
